aX,aY,aZ,gX,gY,gZ
7.865,3.460,4.355,0.124,-0.125,0.079
7.884,3.484,4.345,0.110,-0.110,0.072
7.903,3.529,4.357,0.078,-0.093,0.061
7.918,3.572,4.367,0.050,-0.084,0.051
7.937,3.601,4.384,0.025,-0.074,0.041
7.966,3.625,4.381,-0.001,-0.057,0.030
7.992,3.642,4.405,-0.016,-0.041,0.021
8.033,3.649,4.434,-0.029,-0.025,0.015
8.068,3.656,4.472,-0.045,-0.005,0.008
8.109,3.663,4.496,-0.060,0.008,0.002
8.097,3.680,4.518,-0.079,0.017,-0.005
8.155,3.701,4.525,-0.099,0.044,-0.016

4.187,-14.858,2.100,0.935,-0.478,0.335
3.910,-16.522,1.894,1.221,-0.565,0.374
3.730,-17.672,1.741,1.444,-0.636,0.392
3.563,-18.730,1.690,1.662,-0.710,0.402
3.381,-19.956,1.654,1.922,-0.837,0.394
3.223,-20.684,1.621,2.086,-0.952,0.371
3.079,-21.344,1.506,2.214,-1.075,0.335
2.825,-22.122,1.156,2.305,-1.225,0.249
2.646,-22.568,0.903,2.296,-1.317,0.151
2.464,-22.884,0.788,2.217,-1.396,0.023
2.279,-23.150,0.785,2.011,-1.490,-0.204
2.215,-23.312,0.900,1.799,-1.550,-0.423
2.210,-23.535,1.058,1.552,-1.603,-0.686
2.270,-24.019,1.288,1.188,-1.641,-1.110
2.346,-24.543,1.456,0.898,-1.639,-1.482
2.430,-25.185,1.537,0.604,-1.614,-1.895
2.440,-26.142,1.633,0.234,-1.522,-2.488
2.373,-26.937,1.693,-0.012,-1.411,-2.948
2.174,-27.986,1.767,-0.260,-1.178,-3.554
1.966,-28.615,1.903,-0.387,-0.958,-4.000
1.702,-29.013,2.061,-0.457,-0.711,-4.432
1.326,-29.149,2.296,-0.458,-0.355,-4.984
1.075,-28.994,2.454,-0.403,-0.083,-5.383
0.795,-28.685,2.602,-0.311,0.189,-5.771
0.352,-28.082,2.796,-0.148,0.541,-6.267
-0.014,-27.509,2.942,-0.002,0.790,-6.624
-0.567,-26.561,3.115,0.225,1.104,-7.078
-1.065,-25.716,3.266,0.422,1.322,-7.398
-1.571,-24.756,3.393,0.643,1.524,-7.701
-2.318,-23.360,3.524,0.979,1.750,-8.074
-2.854,-22.247,3.598,1.252,1.899,-8.332
-3.381,-21.067,3.701,1.527,2.032,-8.575
-4.094,-19.343,3.855,1.883,2.162,-8.731
-4.575,-17.966,3.984,2.125,2.221,-8.731
-5.035,-16.484,4.120,2.337,2.247,-8.731
-5.607,-14.293,4.331,2.567,2.251,-8.731
-6.036,-12.479,4.499,2.709,2.229,-8.731
-6.632,-9.934,4.671,2.880,2.162,-8.731
-7.099,-7.987,4.750,3.007,2.075,-8.731
-7.587,-6.081,4.764,3.142,1.958,-8.731
-8.179,-3.733,4.757,3.345,1.752,-8.731
-8.578,-2.097,4.705,3.507,1.562,-8.731
-8.959,-0.488,4.604,3.683,1.361,-8.731
-9.553,1.769,4.503,3.939,1.091,-8.731
-10.168,3.637,4.621,4.136,0.881,-8.731
-10.862,5.662,4.879,4.298,0.639,-8.731
-11.732,8.310,5.119,4.398,0.256,-8.731
-12.218,9.938,5.064,4.368,-0.076,-8.731
-12.407,11.025,4.671,4.243,-0.427,-8.731
-12.222,11.624,3.692,3.952,-0.863,-8.731
-9.431,13.999,-0.263,2.607,-1.386,-7.679
-8.528,16.585,-1.010,2.186,-1.255,-6.903
-8.080,18.773,-1.312,1.855,-1.130,-6.308
-7.712,21.574,-1.386,1.344,-0.972,-5.530
-7.312,23.389,-1.195,0.873,-0.893,-4.982
-6.586,24.904,-1.245,0.325,-0.888,-4.485
-5.748,26.377,-0.871,-0.422,-0.760,-3.892
-4.997,26.961,-0.572,-1.045,-0.715,-3.532
-4.168,27.177,-0.378,-1.712,-0.738,-3.260
-3.098,26.820,-0.199,-2.572,-0.791,-3.018
-2.291,26.042,-0.045,-3.149,-0.816,-2.921
-1.326,24.442,0.333,-3.765,-0.795,-2.864
-0.685,22.984,0.723,-4.116,-0.752,-2.860
-0.048,21.466,1.154,-4.372,-0.683,-2.876
0.678,19.503,1.803,-4.568,-0.563,-2.910
1.156,18.115,2.394,-4.612,-0.453,-2.935
1.657,16.865,2.940,-4.591,-0.359,-2.957
2.207,15.433,3.613,-4.436,-0.237,-2.962
2.593,14.502,4.065,-4.231,-0.149,-2.940
3.026,13.458,4.623,-3.847,-0.025,-2.874
3.321,12.816,4.970,-3.504,0.048,-2.801
3.630,12.299,5.200,-3.129,0.102,-2.714
4.051,11.808,5.377,-2.591,0.156,-2.582
4.286,11.566,5.466,-2.162,0.200,-2.466
4.489,11.404,5.569,-1.728,0.240,-2.346
4.726,11.260,5.540,-1.167,0.260,-2.186
4.839,11.162,5.495,-0.763,0.266,-2.071
4.925,11.121,5.432,-0.380,0.262,-1.959
5.001,11.224,5.339,0.084,0.229,-1.822
5.028,11.387,5.255,0.404,0.205,-1.716
5.035,11.595,5.157,0.685,0.175,-1.610
5.090,11.906,4.915,0.978,0.112,-1.477
5.136,12.158,4.690,1.137,0.051,-1.386
5.188,12.407,4.463,1.251,-0.007,-1.301
5.224,12.713,4.216,1.343,-0.076,-1.190
5.239,12.890,4.027,1.364,-0.128,-1.107
5.277,13.020,3.867,1.347,-0.182,-1.024
5.377,13.135,3.651,1.265,-0.248,-0.914
5.440,13.178,3.522,1.163,-0.284,-0.837
5.523,13.199,3.397,1.020,-0.325,-0.771
5.662,13.204,3.247,0.775,-0.393,-0.693
5.770,13.161,3.124,0.568,-0.447,-0.638
