aX,aY,aZ,gX,gY,gZ
3.740,7.183,-10.779,-0.455,-4.672,-2.193
3.677,7.039,-10.906,-0.624,-4.553,-2.138
3.565,6.823,-11.056,-0.816,-4.401,-2.069
3.428,6.682,-11.207,-0.918,-4.295,-2.020
3.299,6.455,-11.322,-0.977,-4.210,-1.973
3.385,6.160,-11.844,-1.006,-4.134,-1.931
3.364,5.916,-12.093,-1.002,-4.085,-1.916
3.199,5.696,-12.450,-0.967,-4.044,-1.904
2.966,5.590,-12.637,-0.916,-4.017,-1.896
2.775,5.516,-12.905,-0.849,-4.014,-1.881
2.665,5.665,-13.465,-0.735,-3.995,-1.858
2.617,5.947,-13.925,-0.635,-3.956,-1.841
2.509,6.311,-14.356,-0.521,-3.907,-1.823
2.327,6.788,-14.846,-0.354,-3.866,-1.784
2.243,7.068,-15.220,-0.233,-3.852,-1.743
2.361,7.353,-15.622,-0.098,-3.828,-1.679
2.528,7.537,-15.869,-0.022,-3.790,-1.628
2.693,7.702,-16.051,0.032,-3.735,-1.570
2.887,7.939,-16.278,0.057,-3.648,-1.483
3.060,8.131,-16.458,0.033,-3.574,-1.414
3.273,8.337,-16.642,-0.032,-3.493,-1.347
3.610,8.528,-16.798,-0.159,-3.375,-1.261
3.883,8.562,-16.848,-0.264,-3.283,-1.197
4.209,8.495,-16.791,-0.402,-3.158,-1.107
4.456,8.375,-16.712,-0.496,-3.058,-1.035
4.712,8.241,-16.635,-0.574,-2.947,-0.961
4.992,8.040,-16.532,-0.650,-2.779,-0.861
5.140,7.884,-16.472,-0.678,-2.648,-0.787
5.294,7.652,-16.431,-0.683,-2.471,-0.693
5.389,7.441,-16.393,-0.670,-2.338,-0.626
5.507,7.195,-16.288,-0.646,-2.207,-0.565
5.904,6.591,-15.969,-0.630,-2.113,-0.502
5.959,6.096,-14.784,-1.087,-2.121,-0.774
5.794,6.062,-15.287,-1.134,-2.254,-0.826
5.710,6.050,-15.440,-1.057,-2.158,-0.824
5.624,6.029,-15.414,-0.908,-1.970,-0.791
5.399,5.990,-15.103,-0.699,-1.679,-0.735
5.198,5.993,-14.878,-0.585,-1.505,-0.704
5.021,6.053,-14.700,-0.507,-1.385,-0.685
4.997,6.167,-14.621,-0.490,-1.365,-0.686
5.021,6.244,-14.547,-0.488,-1.365,-0.690
5.076,6.275,-14.454,-0.467,-1.334,-0.679
5.085,6.251,-14.334,-0.425,-1.260,-0.649
5.076,6.196,-14.164,-0.368,-1.151,-0.606
5.025,6.136,-13.913,-0.286,-0.976,-0.533
4.944,6.120,-13.750,-0.236,-0.853,-0.478
4.846,6.151,-13.558,-0.196,-0.721,-0.413
4.805,6.187,-13.420,-0.187,-0.650,-0.371
4.784,6.211,-13.281,-0.189,-0.592,-0.334
4.762,6.254,-13.075,-0.197,-0.513,-0.287
4.769,6.256,-12.893,-0.198,-0.442,-0.250
4.757,6.227,-12.694,-0.196,-0.360,-0.214
4.712,6.167,-12.424,-0.194,-0.249,-0.166
4.652,6.134,-12.225,-0.195,-0.172,-0.135
4.530,6.055,-12.007,-0.203,-0.084,-0.101
4.446,5.976,-11.847,-0.210,-0.029,-0.079
4.386,5.895,-11.696,-0.215,0.022,-0.058
4.326,5.777,-11.490,-0.215,0.085,-0.034
4.288,5.686,-11.349,-0.207,0.135,-0.014
4.240,5.588,-11.171,-0.195,0.184,0.006
4.171,5.471,-10.942,-0.173,0.247,0.031
4.140,5.387,-10.755,-0.153,0.290,0.050
4.087,5.277,-10.501,-0.126,0.335,0.072
4.051,5.191,-10.324,-0.102,0.365,0.088
4.027,5.121,-10.154,-0.077,0.391,0.103
3.972,5.033,-9.960,-0.039,0.423,0.122
3.931,4.978,-9.814,-0.009,0.445,0.134
3.898,4.937,-9.677,0.017,0.464,0.144
3.857,4.872,-9.491,0.048,0.489,0.155
3.802,4.822,-9.369,0.068,0.498,0.163
3.773,4.781,-9.278,0.087,0.505,0.172
3.761,4.731,-9.086,0.112,0.515,0.184
3.752,4.695,-8.959,0.130,0.522,0.193
3.752,4.650,-8.820,0.148,0.528,0.201
3.730,4.602,-8.643,0.166,0.532,0.210
3.733,4.590,-8.538,0.174,0.530,0.215
3.730,4.585,-8.437,0.180,0.527,0.220
3.728,4.573,-8.320,0.183,0.518,0.220
3.733,4.551,-8.260,0.183,0.509,0.218
3.728,4.520,-8.193,0.186,0.501,0.216
3.735,4.482,-8.121,0.191,0.492,0.212
3.733,4.441,-8.090,0.193,0.485,0.210
3.730,4.393,-8.033,0.193,0.479,0.208
3.761,4.353,-7.949,0.187,0.468,0.205
3.783,4.338,-7.875,0.180,0.459,0.204
3.783,4.331,-7.824,0.170,0.448,0.203
3.754,4.322,-7.772,0.160,0.432,0.202
3.761,4.307,-7.733,0.153,0.417,0.201
3.776,4.278,-7.695,0.143,0.400,0.200
3.828,4.281,-7.661,0.129,0.378,0.198
3.876,4.262,-7.597,0.118,0.364,0.197
3.943,4.243,-7.563,0.105,0.349,0.195
4.025,4.228,-7.527,0.087,0.332,0.189
4.070,4.221,-7.518,0.074,0.322,0.185
4.111,4.204,-7.503,0.062,0.315,0.180
4.161,4.180,-7.499,0.050,0.308,0.173
4.183,4.152,-7.475,0.043,0.301,0.168
4.202,4.120,-7.491,0.036,0.293,0.161
4.211,4.094,-7.511,0.030,0.283,0.155
4.209,4.056,-7.496,0.022,0.268,0.148
4.204,4.020,-7.491,0.019,0.255,0.145
4.219,3.994,-7.475,0.018,0.241,0.141
4.259,3.946,-7.444,0.019,0.221,0.139
4.281,3.938,-7.429,0.019,0.205,0.137
4.298,3.931,-7.441,0.018,0.189,0.136
4.334,3.955,-7.429,0.016,0.167,0.135
4.353,3.972,-7.405,0.013,0.149,0.131
4.362,3.994,-7.410,0.009,0.130,0.125
4.360,4.027,-7.472,0.003,0.102,0.118
4.355,4.063,-7.515,-0.002,0.082,0.109
4.365,4.080,-7.575,-0.007,0.063,0.100
4.396,4.089,-7.638,-0.014,0.039,0.088
4.420,4.101,-7.669,-0.018,0.023,0.079
4.465,4.113,-7.693,-0.023,0.011,0.071
4.511,4.128,-7.724,-0.028,-0.003,0.062
4.539,4.132,-7.745,-0.033,-0.013,0.056
4.539,4.128,-7.772,-0.038,-0.024,0.049
4.554,4.135,-7.803,-0.042,-0.033,0.044
4.551,4.159,-7.867,-0.045,-0.041,0.039
4.544,4.183,-7.942,-0.048,-0.052,0.032
4.556,4.209,-8.006,-0.048,-0.059,0.028
4.551,4.219,-8.049,-0.050,-0.064,0.025
4.580,4.233,-8.133,-0.050,-0.070,0.022
4.592,4.243,-8.174,-0.052,-0.073,0.022
4.604,4.235,-8.219,-0.054,-0.076,0.021
4.623,4.231,-8.224,-0.057,-0.079,0.022
4.623,4.231,-8.238,-0.059,-0.083,0.024
4.638,4.219,-8.253,-0.059,-0.087,0.027
4.647,4.207,-8.284,-0.057,-0.090,0.030
