aX,aY,aZ,gX,gY,gZ
-3.067,13.582,5.018,0.561,0.084,-4.035
-2.782,14.655,5.181,0.625,0.094,-4.031
-2.389,16.091,5.339,0.691,0.118,-3.995
-2.078,17.128,5.466,0.729,0.136,-3.944
-1.717,18.115,5.605,0.758,0.150,-3.875
-1.243,19.367,5.873,0.783,0.158,-3.766
-0.893,20.267,6.019,0.784,0.162,-3.679
-0.520,21.098,6.158,0.774,0.164,-3.591
0.072,22.108,6.314,0.728,0.155,-3.477
0.369,22.764,6.620,0.680,0.169,-3.385
1.221,23.542,6.603,0.575,0.180,-3.308
1.748,24.277,6.711,0.441,-0.050,-3.245
1.973,24.612,7.120,0.354,-0.118,-3.166
2.480,24.792,7.484,0.271,0.030,-3.045
3.026,24.816,7.836,0.213,0.022,-2.901
3.433,24.445,8.423,0.216,0.355,-2.745
3.745,23.920,8.691,0.241,0.695,-2.584
4.034,23.106,8.672,0.232,1.047,-2.389
4.020,22.398,8.619,0.196,1.189,-2.281
3.926,21.586,8.538,0.141,1.211,-2.182
3.630,20.521,8.449,0.073,1.088,-2.066
3.376,19.750,8.406,0.048,0.850,-1.971
3.333,19.111,8.571,0.052,0.556,-1.873
3.539,18.332,9.055,0.090,0.326,-1.746
3.778,17.844,9.316,0.124,0.269,-1.668
4.003,17.399,9.462,0.167,0.267,-1.601
4.183,16.901,9.431,0.232,0.260,-1.529
4.276,16.685,9.347,0.285,0.212,-1.485
4.324,16.563,9.282,0.343,0.133,-1.440
4.434,16.606,9.268,0.426,-0.023,-1.370
4.511,16.654,9.251,0.474,-0.139,-1.304
4.635,16.723,9.175,0.500,-0.287,-1.232
4.896,16.714,9.203,0.510,-0.484,-1.130
5.205,16.561,9.306,0.494,-0.573,-1.051
5.478,16.340,9.244,0.453,-0.637,-0.982
5.964,16.091,8.985,0.363,-0.748,-0.912
6.304,15.811,8.849,0.285,-0.827,-0.877
6.536,15.498,8.622,0.204,-0.926,-0.859
6.902,15.083,8.279,0.103,-1.128,-0.839
7.266,14.746,8.250,0.052,-1.251,-0.819
7.642,14.353,8.277,0.021,-1.298,-0.788
8.109,13.850,8.215,-0.010,-1.259,-0.739
8.368,13.544,8.133,-0.035,-1.202,-0.702
8.645,13.271,7.999,-0.069,-1.111,-0.655
8.794,13.144,7.887,-0.105,-1.054,-0.624
8.892,13.084,7.784,-0.150,-1.023,-0.601
8.952,13.041,7.719,-0.214,-1.019,-0.574
8.976,13.001,7.705,-0.254,-1.035,-0.545
9.005,12.967,7.717,-0.292,-1.069,-0.506
9.127,12.941,7.798,-0.323,-1.135,-0.434
9.261,12.917,7.872,-0.331,-1.195,-0.370
9.402,12.835,7.882,-0.322,-1.249,-0.300
9.670,12.670,7.992,-0.313,-1.284,-0.198
9.943,12.426,7.954,-0.297,-1.289,-0.117
10.228,12.230,7.937,-0.292,-1.284,-0.047
10.611,11.952,7.918,-0.288,-1.258,0.030
10.906,11.763,7.872,-0.289,-1.217,0.074
11.281,11.497,7.693,-0.300,-1.189,0.116
11.581,11.389,7.649,-0.320,-1.166,0.136
11.820,11.315,7.556,-0.337,-1.150,0.149
12.129,11.298,7.537,-0.363,-1.121,0.170
12.318,11.341,7.477,-0.386,-1.091,0.195
12.483,11.399,7.333,-0.412,-1.079,0.229
12.725,11.447,7.125,-0.446,-1.098,0.292
12.902,11.444,6.965,-0.470,-1.132,0.355
13.465,10.982,6.385,-0.500,-1.272,0.788
13.544,10.657,6.151,-0.495,-1.258,0.961
13.561,10.376,5.981,-0.489,-1.229,1.097
13.506,9.929,5.705,-0.483,-1.167,1.277
13.441,9.550,5.435,-0.480,-1.128,1.407
13.362,9.206,5.215,-0.481,-1.093,1.533
13.245,8.787,4.942,-0.492,-1.027,1.685
13.118,8.471,4.752,-0.503,-0.952,1.786
12.953,8.159,4.571,-0.518,-0.857,1.879
12.661,7.728,4.274,-0.547,-0.704,1.994
12.402,7.386,4.068,-0.576,-0.579,2.077
12.131,7.046,3.833,-0.609,-0.455,2.158
11.753,6.553,3.515,-0.663,-0.311,2.259
11.456,6.184,3.287,-0.709,-0.229,2.329
11.169,5.806,3.067,-0.757,-0.163,2.393
10.786,5.351,2.799,-0.826,-0.106,2.463
10.513,5.052,2.643,-0.873,-0.077,2.506
10.266,4.762,2.502,-0.916,-0.058,2.540
9.938,4.410,2.306,-0.963,-0.048,2.575
9.685,4.144,2.207,-0.985,-0.031,2.597
9.428,3.840,2.078,-0.997,-0.022,2.620
9.124,3.481,2.047,-0.998,0.004,2.649
8.849,3.108,1.903,-0.971,0.052,2.684
8.586,2.768,1.757,-0.931,0.036,2.722
8.250,2.358,1.647,-0.855,-0.003,2.773
8.047,2.073,1.633,-0.783,-0.031,2.810
7.863,1.755,1.618,-0.690,-0.031,2.851
7.573,1.391,1.609,-0.558,-0.014,2.901
7.321,1.135,1.575,-0.442,0.005,2.941
7.154,0.828,1.501,-0.322,0.017,2.982
6.960,0.474,1.504,-0.163,0.009,3.031
6.804,0.242,1.506,-0.053,0.011,3.066
6.706,0.069,1.453,0.048,-0.001,3.091
6.610,-0.172,1.381,0.168,-0.031,3.111
6.524,-0.340,1.377,0.241,-0.033,3.123
6.436,-0.457,1.391,0.291,-0.043,3.122
6.390,-0.553,1.417,0.329,-0.044,3.105
6.311,-0.577,1.401,0.335,-0.013,3.085
6.232,-0.630,1.408,0.325,0.028,3.064
6.153,-0.632,1.475,0.280,0.092,3.017
6.120,-0.591,1.525,0.229,0.158,2.972
5.986,-0.563,1.551,0.180,0.237,2.927
5.875,-0.539,1.618,0.101,0.360,2.863
5.835,-0.515,1.621,0.025,0.456,2.806
5.710,-0.467,1.549,-0.065,0.506,2.739
5.523,-0.400,1.492,-0.195,0.501,2.648
5.420,-0.352,1.480,-0.294,0.481,2.578
5.332,-0.342,1.475,-0.386,0.466,2.513
5.195,-0.385,1.482,-0.495,0.456,2.434
5.057,-0.414,1.508,-0.561,0.469,2.384
4.942,-0.484,1.513,-0.616,0.484,2.339
4.815,-0.622,1.487,-0.675,0.494,2.286
4.736,-0.781,1.465,-0.710,0.488,2.250
4.640,-0.953,1.444,-0.739,0.479,2.218
4.520,-1.228,1.468,-0.767,0.462,2.176
4.465,-1.427,1.482,-0.784,0.444,2.143
4.424,-1.676,1.494,-0.795,0.423,2.090
4.432,-1.810,1.523,-0.796,0.410,2.042
4.470,-1.915,1.597,-0.810,0.408,1.984
4.537,-1.973,1.647,-0.828,0.404,1.893
4.580,-1.951,1.697,-0.833,0.397,1.821
4.616,-1.879,1.755,-0.837,0.389,1.736
4.640,-1.709,1.882,-0.819,0.379,1.621
4.645,-1.530,2.006,-0.792,0.390,1.534
4.647,-1.281,2.112,-0.758,0.406,1.450
4.594,-0.891,2.330,-0.692,0.439,1.340
4.571,-0.553,2.519,-0.637,0.447,1.264
4.499,-0.144,2.717,-0.586,0.443,1.188
4.367,0.429,3.007,-0.509,0.435,1.092
4.211,0.869,3.268,-0.454,0.429,1.026
4.051,1.334,3.529,-0.407,0.416,0.969
3.828,1.932,3.938,-0.358,0.406,0.898
3.646,2.327,4.228,-0.333,0.408,0.854
3.486,2.653,4.492,-0.321,0.408,0.818
3.306,2.998,4.815,-0.331,0.380,0.770
3.215,3.189,5.023,-0.358,0.329,0.728
3.144,3.345,5.236,-0.389,0.264,0.682
3.089,3.491,5.509,-0.440,0.155,0.611
3.081,3.577,5.679,-0.478,0.061,0.554
3.079,3.630,5.820,-0.508,-0.026,0.498
3.110,3.651,6.000,-0.534,-0.134,0.424
3.170,3.639,6.091,-0.538,-0.217,0.367
3.230,3.649,6.179,-0.521,-0.291,0.313
3.306,3.682,6.330,-0.465,-0.379,0.248
