aX,aY,aZ,gX,gY,gZ
7.987,-3.021,6.132,-0.130,-0.086,-0.081
7.968,-2.990,6.072,-0.117,-0.122,-0.097
7.963,-2.950,6.029,-0.105,-0.156,-0.113
7.968,-2.875,5.962,-0.094,-0.198,-0.136
7.992,-2.820,5.880,-0.087,-0.222,-0.154
8.023,-2.744,5.804,-0.084,-0.242,-0.173
8.073,-2.638,5.717,-0.081,-0.262,-0.200
8.092,-2.574,5.657,-0.081,-0.271,-0.220
8.124,-2.500,5.564,-0.085,-0.280,-0.246
8.119,-2.433,5.473,-0.090,-0.285,-0.264
8.124,-2.349,5.387,-0.095,-0.291,-0.278
8.135,-2.270,5.289,-0.099,-0.299,-0.293
8.147,-2.210,5.239,-0.100,-0.302,-0.300
8.157,-2.124,5.155,-0.096,-0.302,-0.304
8.181,-2.061,5.076,-0.091,-0.300,-0.303
8.200,-2.006,5.018,-0.085,-0.297,-0.299

10.408,7.851,2.569,0.548,-0.220,-0.257
10.630,9.093,2.313,0.639,-0.182,-0.154
10.815,9.998,2.174,0.695,-0.143,-0.050
11.052,11.140,2.052,0.751,-0.082,0.126
11.231,11.983,1.994,0.782,-0.027,0.287
11.375,12.766,1.949,0.804,0.034,0.468
11.478,13.487,1.872,0.817,0.103,0.668
11.571,14.439,1.750,0.813,0.199,0.965
11.583,15.122,1.650,0.790,0.274,1.205
11.557,15.682,1.532,0.752,0.350,1.467
11.423,16.182,1.405,0.681,0.456,1.839
11.250,16.352,1.393,0.618,0.536,2.131
11.013,16.379,1.403,0.552,0.614,2.434
10.606,16.202,1.468,0.460,0.715,2.852
10.252,15.941,1.602,0.385,0.792,3.171
9.821,15.579,1.853,0.303,0.863,3.490
9.184,14.904,2.284,0.185,0.943,3.917
8.689,14.147,2.646,0.100,0.989,4.229
8.171,13.173,3.031,0.022,1.025,4.528
7.434,11.545,3.519,-0.062,1.059,4.896
6.816,10.135,3.941,-0.109,1.071,5.143
6.117,8.612,4.413,-0.145,1.065,5.360
5.092,6.596,5.097,-0.193,1.021,5.590
4.271,4.748,5.794,-0.227,0.955,5.709
3.175,1.721,7.149,-0.193,0.841,5.790
1.044,-4.573,9.855,0.098,0.544,5.836
-0.548,-10.068,11.401,0.518,0.246,5.794
-2.320,-15.783,12.584,1.096,-0.017,5.747
-4.302,-21.615,13.544,1.975,-0.317,5.636
-6.213,-25.862,14.234,2.650,-0.544,5.520
-7.439,-30.289,14.459,3.231,-0.742,5.337
-8.361,-34.266,13.534,3.407,-0.830,4.819
-8.076,-37.438,12.608,3.358,-1.095,4.125
-7.482,-40.175,10.005,2.987,-1.416,3.058
-7.307,-40.709,6.134,2.327,-1.830,1.525
-6.807,-39.686,3.847,1.800,-2.002,0.468
-5.224,-38.573,2.442,1.264,-1.972,-0.500
-2.200,-36.952,1.946,0.609,-1.663,-1.644
-0.124,-35.113,2.538,0.183,-1.298,-2.366
2.449,-31.007,3.912,-0.281,-0.745,-3.088
4.262,-26.865,5.033,-0.565,-0.391,-3.466
5.830,-22.594,6.354,-0.784,-0.119,-3.710
7.681,-17.899,8.152,-1.015,0.172,-3.893
8.775,-15.490,8.942,-1.175,0.390,-4.001
9.550,-13.752,9.024,-1.339,0.595,-4.117
9.823,-11.552,8.416,-1.512,0.823,-4.223
9.318,-9.543,7.712,-1.611,0.965,-4.209
7.793,-6.993,6.905,-1.747,1.106,-4.061
6.369,-5.641,6.474,-1.885,1.168,-3.898
5.035,-4.764,6.115,-2.035,1.194,-3.714
3.881,-3.721,5.756,-2.237,1.165,-3.463
3.596,-2.650,5.569,-2.368,1.100,-3.276
3.603,-1.346,5.480,-2.465,1.020,-3.091
3.996,0.448,5.511,-2.535,0.930,-2.862
4.549,1.657,5.753,-2.515,0.876,-2.716
5.243,2.693,6.199,-2.420,0.794,-2.601
6.314,4.053,6.953,-2.180,0.640,-2.488
7.286,5.171,7.472,-1.921,0.497,-2.425
8.315,6.428,7.949,-1.612,0.361,-2.370
9.620,8.258,8.425,-1.153,0.248,-2.308
10.532,9.728,8.550,-0.798,0.201,-2.270
11.392,11.241,8.495,-0.452,0.143,-2.235
12.447,13.350,8.329,-0.033,0.032,-2.168
13.211,15.036,8.155,0.250,-0.064,-2.089
13.898,16.759,7.966,0.516,-0.150,-1.978
14.588,19.055,7.597,0.848,-0.240,-1.775
14.863,20.616,7.204,1.088,-0.292,-1.564
14.983,21.952,6.689,1.317,-0.333,-1.298
13.616,24.507,3.737,1.957,-0.511,0.674
13.147,24.301,3.033,1.949,-0.536,1.200
12.582,23.908,2.368,1.860,-0.544,1.923
12.218,23.547,2.037,1.734,-0.539,2.470
11.897,23.042,1.822,1.553,-0.523,3.007
11.444,21.964,1.717,1.231,-0.486,3.673
10.992,20.734,1.729,0.950,-0.455,4.123
10.439,19.120,1.832,0.655,-0.418,4.519
9.584,16.360,2.164,0.282,-0.362,4.963
8.468,13.364,3.048,0.061,-0.336,5.239
6.826,8.329,5.203,0.014,-0.380,5.478
4.178,-1.211,8.464,0.359,-0.531,5.714
2.729,-8.064,9.704,0.794,-0.596,5.765
1.144,-13.941,9.953,1.272,-0.565,5.735
-1.561,-20.157,10.408,1.904,-0.495,5.678
-3.946,-23.750,10.398,2.222,-0.446,5.602
-6.182,-26.248,9.962,2.302,-0.401,5.433
-7.333,-28.491,7.731,2.010,-0.560,4.876
-7.314,-29.951,5.868,1.577,-0.756,4.186
-6.005,-34.314,3.577,0.967,-1.095,2.874
-4.652,-37.479,1.803,0.479,-1.212,1.670
-3.448,-38.762,0.797,0.142,-1.259,0.541
-1.683,-38.156,0.833,-0.152,-1.183,-0.697
-0.163,-36.473,1.607,-0.299,-0.982,-1.439
1.480,-33.600,2.588,-0.452,-0.740,-2.070
3.517,-28.371,3.955,-0.633,-0.450,-2.705
5.121,-24.057,5.138,-0.758,-0.239,-3.053
7.037,-18.632,6.464,-0.903,0.098,-3.363
8.279,-15.208,7.022,-1.009,0.384,-3.511
9.263,-12.376,7.319,-1.119,0.681,-3.628
9.768,-9.050,7.381,-1.270,1.070,-3.737
9.538,-6.620,7.132,-1.401,1.300,-3.759
8.916,-4.322,6.893,-1.565,1.444,-3.712
7.645,-1.882,6.747,-1.809,1.475,-3.544
6.675,-0.692,6.838,-1.986,1.415,-3.359
5.887,0.101,6.979,-2.142,1.346,-3.145
5.092,0.943,7.101,-2.287,1.253,-2.827
4.673,1.654,7.132,-2.343,1.162,-2.573
4.451,2.437,7.144,-2.361,1.060,-2.310
4.499,3.247,7.089,-2.344,0.921,-1.965
4.748,3.503,7.118,-2.307,0.818,-1.730
5.095,3.412,7.259,-2.230,0.710,-1.528
5.710,3.045,7.513,-2.056,0.539,-1.304
6.290,2.871,7.590,-1.890,0.385,-1.165
7.178,2.863,7.561,-1.678,0.234,-1.018
7.865,2.923,7.345,-1.558,0.172,-0.944
8.576,2.866,6.958,-1.479,0.124,-0.908
9.486,2.643,6.340,-1.422,0.046,-0.909
10.046,2.373,5.954,-1.391,-0.017,-0.937
10.467,2.102,5.662,-1.352,-0.071,-0.973
10.886,1.784,5.397,-1.269,-0.102,-1.012
11.085,1.592,5.246,-1.178,-0.083,-1.028
11.190,1.453,5.083,-1.061,-0.037,-1.029
11.260,1.338,4.870,-0.871,0.033,-1.006
11.241,1.322,4.772,-0.698,0.091,-0.966
11.147,1.350,4.709,-0.510,0.151,-0.909
10.944,1.484,4.755,-0.253,0.231,-0.812
10.709,1.573,4.846,-0.069,0.291,-0.728
10.412,1.633,4.942,0.085,0.337,-0.641
9.981,1.683,5.045,0.241,0.366,-0.524
9.658,1.671,5.092,0.315,0.359,-0.439
9.347,1.664,5.116,0.347,0.327,-0.361
8.990,1.645,5.200,0.330,0.261,-0.267
8.794,1.623,5.279,0.274,0.208,-0.208
8.629,1.597,5.334,0.187,0.159,-0.161
8.452,1.525,5.435,0.040,0.113,-0.112
8.356,1.401,5.492,-0.082,0.092,-0.086
8.298,1.238,5.528,-0.204,0.075,-0.063
8.219,0.965,5.576,-0.353,0.064,-0.033
8.135,0.709,5.595,-0.452,0.059,-0.013
8.047,0.431,5.588,-0.539,0.046,0.006
7.951,0.029,5.598,-0.629,0.012,0.029
7.906,-0.256,5.571,-0.679,-0.028,0.045
7.901,-0.522,5.521,-0.709,-0.083,0.060
7.951,-0.824,5.423,-0.723,-0.176,0.080
8.016,-1.030,5.318,-0.715,-0.248,0.091
8.095,-1.238,5.224,-0.688,-0.314,0.101
8.193,-1.535,5.126,-0.627,-0.387,0.113
8.262,-1.738,5.059,-0.566,-0.427,0.120
8.389,-2.018,4.932,-0.480,-0.460,0.121
8.490,-2.186,4.860,-0.416,-0.468,0.114
8.554,-2.332,4.805,-0.352,-0.458,0.101
8.689,-2.772,4.681,-0.254,-0.303,-0.103
8.665,-2.813,4.630,-0.281,-0.269,-0.177
8.626,-2.811,4.573,-0.321,-0.240,-0.284
8.595,-2.801,4.547,-0.345,-0.227,-0.363
8.543,-2.744,4.542,-0.356,-0.220,-0.440
8.447,-2.655,4.511,-0.343,-0.211,-0.535
8.365,-2.600,4.484,-0.310,-0.210,-0.596
8.262,-2.540,4.489,-0.249,-0.211,-0.645
8.100,-2.502,4.518,-0.124,-0.214,-0.689
7.980,-2.466,4.556,-0.008,-0.220,-0.707
7.855,-2.401,4.606,0.165,-0.225,-0.716
7.781,-2.354,4.645,0.302,-0.230,-0.713
7.743,-2.282,4.650,0.435,-0.239,-0.705
7.726,-2.140,4.681,0.598,-0.246,-0.690
7.767,-2.006,4.662,0.701,-0.252,-0.681
7.836,-1.836,4.626,0.774,-0.262,-0.676
7.977,-1.554,4.587,0.831,-0.268,-0.678
8.090,-1.346,4.547,0.846,-0.266,-0.685
8.210,-1.123,4.527,0.834,-0.257,-0.697
8.346,-0.864,4.470,0.793,-0.222,-0.711
8.425,-0.682,4.451,0.747,-0.180,-0.717
8.447,-0.486,4.441,0.680,-0.109,-0.712
8.423,-0.405,4.468,0.628,-0.054,-0.699
8.384,-0.350,4.496,0.576,-0.003,-0.676
8.327,-0.280,4.535,0.511,0.057,-0.626
8.310,-0.227,4.573,0.464,0.092,-0.577
8.303,-0.172,4.628,0.421,0.119,-0.519
8.327,-0.141,4.721,0.378,0.140,-0.429
8.384,-0.132,4.757,0.354,0.145,-0.357
8.466,-0.110,4.786,0.334,0.147,-0.284
8.598,-0.093,4.779,0.310,0.149,-0.185
8.698,-0.122,4.791,0.290,0.152,-0.115
8.806,-0.182,4.793,0.270,0.158,-0.048
8.961,-0.299,4.824,0.237,0.175,0.032
9.055,-0.419,4.870,0.208,0.196,0.084
9.110,-0.555,4.911,0.173,0.223,0.129
9.172,-0.697,4.978,0.116,0.267,0.179
9.191,-0.809,5.037,0.065,0.306,0.206
9.191,-0.936,5.095,0.005,0.344,0.224
9.143,-1.097,5.191,-0.085,0.387,0.238
9.062,-1.245,5.279,-0.154,0.409,0.242
8.990,-1.396,5.351,-0.217,0.422,0.244
8.892,-1.599,5.449,-0.290,0.426,0.243
8.823,-1.724,5.511,-0.333,0.421,0.241
8.765,-1.863,5.602,-0.359,0.410,0.241
8.710,-2.040,5.681,-0.367,0.389,0.241
8.686,-2.160,5.720,-0.357,0.368,0.243
8.672,-2.246,5.784,-0.330,0.350,0.245
8.701,-2.337,5.830,-0.280,0.326,0.246
8.696,-2.397,5.861,-0.238,0.307,0.244
8.693,-2.454,5.875,-0.197,0.288,0.238
8.684,-2.504,5.954,-0.152,0.259,0.223
8.681,-2.528,6.012,-0.127,0.236,0.205
8.667,-2.533,6.062,-0.109,0.214,0.182
8.614,-2.576,6.127,-0.098,0.182,0.147
8.571,-2.619,6.175,-0.104,0.152,0.113
8.533,-2.634,6.206,-0.117,0.123,0.077
8.490,-2.641,6.203,-0.139,0.088,0.026
8.478,-2.631,6.223,-0.158,0.067,-0.014
8.471,-2.622,6.230,-0.181,0.042,-0.067
8.452,-2.591,6.237,-0.194,0.023,-0.105
8.447,-2.552,6.206,-0.200,0.005,-0.142
8.449,-2.500,6.155,-0.201,-0.016,-0.188
8.437,-2.444,6.120,-0.193,-0.031,-0.220
8.416,-2.401,6.069,-0.180,-0.048,-0.249
8.361,-2.342,5.971,-0.155,-0.076,-0.283
8.291,-2.279,5.902,-0.132,-0.101,-0.305
8.169,-2.207,5.842,-0.097,-0.143,-0.327
8.107,-2.148,5.813,-0.070,-0.178,-0.338
8.083,-2.071,5.808,-0.042,-0.215,-0.346
8.085,-1.978,5.777,-0.013,-0.264,-0.354
8.112,-1.879,5.760,0.004,-0.297,-0.356
8.171,-1.781,5.744,0.015,-0.323,-0.358
8.267,-1.633,5.703,0.019,-0.345,-0.358
8.334,-1.508,5.643,0.014,-0.353,-0.359

9.428,7.242,4.329,-0.501,-0.065,0.588
9.704,8.191,4.190,-0.611,-0.023,0.751
9.876,8.832,4.099,-0.702,0.021,0.893
9.993,9.450,4.029,-0.805,0.068,1.051
10.075,10.206,3.962,-0.959,0.134,1.287
10.096,10.645,3.938,-1.084,0.184,1.486
10.089,10.894,3.900,-1.211,0.233,1.699
10.015,10.910,3.864,-1.368,0.299,2.000
9.902,10.688,3.859,-1.470,0.347,2.234
9.735,10.357,3.864,-1.553,0.391,2.475
9.464,9.919,3.905,-1.624,0.448,2.812
9.237,9.529,3.950,-1.651,0.487,3.069
8.988,9.050,4.003,-1.656,0.521,3.320
8.629,8.231,4.073,-1.631,0.553,3.631
8.361,7.494,4.137,-1.585,0.562,3.841
8.054,6.701,4.202,-1.514,0.556,4.033
7.611,5.576,4.219,-1.375,0.532,4.264
7.262,4.611,4.238,-1.236,0.511,4.421
6.864,3.467,4.317,-1.062,0.488,4.561
6.311,1.978,4.451,-0.805,0.443,4.703
5.902,0.881,4.604,-0.586,0.397,4.779
5.428,-0.345,4.889,-0.329,0.343,4.836
4.719,-2.339,5.775,0.067,0.214,4.850
4.111,-4.424,6.704,0.464,0.059,4.821
3.517,-6.452,7.156,0.906,-0.123,4.744
2.856,-8.799,6.718,1.465,-0.337,4.586
2.248,-10.994,6.393,1.854,-0.427,4.466
1.420,-13.664,6.510,2.266,-0.385,4.405
