aX,aY,aZ,gX,gY,gZ
2.478,1.714,8.626,-0.136,-0.455,0.407
2.418,1.642,8.686,-0.125,-0.434,0.377
2.389,1.611,8.746,-0.109,-0.414,0.343
2.387,1.618,8.775,-0.097,-0.402,0.317
2.377,1.616,8.820,-0.084,-0.394,0.296
2.358,1.645,8.906,-0.064,-0.386,0.274
2.399,1.724,8.930,-0.051,-0.390,0.257
2.401,1.784,8.964,-0.038,-0.391,0.242
2.421,1.879,8.959,-0.025,-0.395,0.226
2.433,1.946,8.952,-0.017,-0.398,0.216
2.423,1.997,8.918,-0.009,-0.406,0.209
2.409,2.069,8.902,-0.003,-0.418,0.206
2.397,2.083,8.863,-0.003,-0.431,0.208
2.428,2.107,8.835,-0.006,-0.446,0.212
2.492,2.181,8.813,-0.008,-0.460,0.208

20.688,-6.467,-2.361,0.878,2.204,-0.676
22.960,-8.045,-3.474,1.214,2.838,-0.883
25.206,-10.094,-6.776,1.847,3.931,-1.241
26.887,-11.128,-9.931,2.425,5.039,-1.591
28.678,-12.345,-12.318,3.049,6.331,-2.057
29.485,-14.214,-15.919,3.985,8.390,-2.839
28.280,-15.201,-18.838,4.726,8.731,-3.534
25.546,-15.663,-21.780,5.470,8.731,-4.316
19.855,-15.395,-25.920,6.429,8.731,-5.459
14.138,-14.516,-29.094,7.067,8.731,-6.336
7.678,-13.034,-32.317,7.592,8.731,-7.169
-1.721,-10.029,-36.018,8.068,8.731,-8.122
-9.019,-6.917,-37.476,8.173,8.731,-8.662
-17.626,-2.284,-37.060,7.866,8.731,-8.731
-22.292,0.972,-34.970,7.286,8.731,-8.731
-25.015,3.378,-31.845,6.463,8.731,-8.731
-25.647,5.241,-26.470,5.180,8.731,-8.731
-24.696,6.297,-21.823,4.195,8.731,-8.731
-23.169,7.082,-16.779,3.278,8.731,-8.604
-21.256,7.477,-10.214,2.213,8.731,-8.323
-20.243,7.582,-5.619,1.515,8.731,-8.111
-19.537,7.628,-1.290,0.902,8.731,-7.873
-19.350,7.927,4.149,0.194,8.731,-7.560
-19.439,7.875,8.138,-0.282,8.731,-7.221
-19.697,7.776,12.538,-0.680,8.731,-6.854
-20.645,7.111,18.026,-0.914,8.731,-6.293
-21.380,6.761,21.943,-0.907,8.731,-5.798
-22.369,6.697,25.252,-0.766,8.731,-5.202
-23.466,7.123,28.781,-0.525,8.731,-4.298
-25.549,9.984,31.630,0.019,2.749,-0.973
-25.065,9.567,29.509,-0.017,0.967,-0.066
-24.409,8.753,27.382,-0.082,-0.220,0.530
-23.638,7.628,24.986,-0.162,-1.261,1.045
-22.350,6.227,21.816,-0.272,-2.409,1.581
-21.498,5.258,19.589,-0.324,-3.111,1.895
-20.535,4.769,17.593,-0.353,-3.694,2.158
-19.369,4.817,15.419,-0.386,-4.316,2.430
-18.610,5.047,14.092,-0.434,-4.695,2.607
-17.937,5.432,13.113,-0.530,-4.995,2.768
-17.274,5.839,12.160,-0.736,-5.327,2.960
-17.013,5.555,11.858,-0.911,-5.535,3.101
-16.661,5.207,12.038,-1.051,-5.735,3.247
-16.022,4.537,12.450,-1.145,-6.084,3.404
-15.701,3.809,12.941,-1.136,-6.395,3.483
-15.421,3.148,13.544,-1.058,-6.753,3.543
-14.789,3.158,14.238,-0.896,-7.319,3.624
-14.238,3.680,14.607,-0.800,-7.779,3.693
-13.858,4.544,14.782,-0.756,-8.277,3.781
-13.525,6.196,14.583,-0.814,-8.731,3.947
-13.379,7.341,14.092,-0.953,-8.731,4.102
-13.173,8.246,13.336,-1.169,-8.731,4.275
-12.603,9.201,11.897,-1.563,-8.731,4.507
-11.990,9.649,10.556,-1.922,-8.731,4.646
-11.365,9.785,8.947,-2.317,-8.731,4.735
-10.534,9.297,6.539,-2.872,-8.731,4.804
-9.661,8.739,4.798,-3.278,-8.731,4.802
-8.799,7.920,3.120,-3.657,-8.731,4.749
-7.901,6.333,0.950,-4.095,-8.731,4.635
-7.233,4.865,-0.450,-4.353,-8.731,4.535
-5.933,2.485,-1.966,-4.587,-8.731,4.371
-4.302,0.323,-3.055,-4.699,-8.731,4.222
-1.858,-1.844,-4.070,-4.804,-8.731,4.020
16.949,-13.510,-7.324,-4.213,-8.731,1.763
22.790,-15.991,-8.847,-3.505,-8.731,1.039
30.847,-19.055,-12.404,-2.091,-7.459,0.007
35.760,-21.354,-15.998,-0.787,-4.990,-0.801
38.688,-22.790,-19.747,0.596,-2.160,-1.627
38.307,-22.216,-24.246,2.376,1.842,-2.757
35.228,-19.688,-27.550,3.507,4.824,-3.560
29.753,-16.254,-30.229,4.344,7.640,-4.320
20.308,-11.942,-32.276,5.021,8.731,-5.260
13.336,-9.184,-32.578,5.194,8.731,-5.925
7.302,-6.816,-31.814,5.081,8.731,-6.531
1.539,-4.338,-29.401,4.587,8.731,-7.207
-1.037,-3.072,-26.825,4.056,8.731,-7.591
-2.502,-2.126,-23.741,3.484,8.731,-7.872
-3.201,-1.389,-18.818,2.755,8.731,-8.122
-3.237,-1.085,-14.985,2.265,8.731,-8.249
-3.199,-0.527,-11.123,1.826,8.731,-8.327
-3.294,1.362,-6.215,1.271,8.731,-8.325
-3.677,3.378,-2.655,0.817,8.731,-8.244
-4.678,5.784,2.277,0.137,8.731,-8.033
-5.720,6.900,6.170,-0.378,8.731,-7.784
-6.907,7.355,10.096,-0.851,8.731,-7.461
-8.045,6.948,15.320,-1.314,8.731,-6.937
-10.549,5.818,19.216,-1.506,8.731,-6.540
-11.930,4.628,22.386,-1.534,8.731,-5.957
-14.315,4.259,26.882,-1.398,8.347,-5.202
-16.508,3.812,29.272,-0.955,6.970,-4.518
-17.772,4.350,30.579,-0.409,5.548,-3.757
-18.581,5.538,30.337,0.263,3.687,-2.659
-18.708,6.354,28.850,0.594,2.392,-1.873
-18.443,6.663,26.571,0.793,1.216,-1.155
-14.174,3.496,12.598,0.903,-1.938,0.470
-13.048,3.010,10.029,0.828,-2.127,0.483
-12.074,2.626,7.997,0.721,-2.171,0.419
-10.829,2.428,5.997,0.573,-2.045,0.291
-10.015,2.354,5.001,0.465,-1.854,0.189
-9.244,2.418,4.436,0.352,-1.608,0.080
-8.480,2.468,4.281,0.195,-1.246,-0.058
-8.112,2.485,4.559,0.087,-0.984,-0.129
-7.896,2.476,5.083,-0.011,-0.737,-0.156
-7.776,2.765,6.086,-0.092,-0.450,-0.108
-7.738,3.244,6.914,-0.122,-0.296,-0.008
-7.719,3.974,7.764,-0.153,-0.189,0.151
-7.681,4.913,8.835,-0.216,-0.135,0.406
-7.690,5.315,9.663,-0.268,-0.156,0.625
-7.633,5.440,10.400,-0.300,-0.234,0.851
